First_Name,Last_Name,Season,Residence,State,Age_of_Entrace,Occupation,Day_Enter,Day_Exit,Days_Stay_Total,Percentage_Stayed,HomeCity,HomeState,ForeignState
Brittany,Petros,1,Robbinsdale,Minnesota,25,Actress,1,58,57,66,,,
Cassandra,Waldon,1,Havre De Grace,Maryland,37,UN Communications Director,1,72,71,82,,,
Curtis,Kin,1,New York City,New York,28,Lawyer,1,88,87,100,,,
Eddie,McGee,1,Commack,New York,21,Entertainer,1,88,87,100,,,
George,Bosswell,1,Rockford,Illinois,41,Roofer,1,79,78,90,,,
Jamie ,Kern,1,Seattle ,Washington,22,Model,1,86,85,98,,,
Jean,Jordan,1,Roanoke,Virginia,26,Exotic Dancer,1,30,29,33,,,
Josh ,Souza,1,San Jose,California,23,Civil Engineer Student,1,88,87,100,,,
Karen,Fowler,1,Columbus,Indiana,43,Mother,1,44,43,49,,,
William,Collins,1,Philadelphia,Pennsylvania,27,Politican,1,17,16,18,,,
Will,Kirby,2,Miami,Florida,28,Physician,1,82,81,100,Tallahassee,Florida,
Nicole,Schaffrich,2,Atlanta,Georgia,31,Personal Chef,1,82,81,100,,,
Monica,Bailey,2,Brooklyn,New York,40,Candy Store Manager,1,77,76,94,,,
Hardy,Ames-Hill,2,Pittsburgh,Pennsylvania,31,Bouncer,1,68,67,83,,,
Bunky,Miller,2,Harrisburg,North Carolina,36,Technical Writer,1,61,60,74,,,
Krista,Stegall,2,Opelousas,Louisiana,28,Waitress,1,47,46,57,,,
Kent ,Blackwelder,2,Powell,Tennessee,46,Business Owner,1,40,39,48,,,
Mike Boogie,Malin,2,Los Angeles,California,30,Bar Owner,1,33,32,40,Concord,New Hampshire,
Shannon,Dragoo,2,San Antonio,Texas,29,Realtor,1,26,25,31,,,
Autumn,Daly,2,Edinburg,Texas,28,Aspiring Singer,1,19,18,22,,,
Sheryl,Braxton,2,Vero Beach ,Florida,43,Mother,1,12,11,14,,,
Justin,Sebik,2,Bayonne,New Jersey,26,Bartender,1,10,9,11,,,
Lisa,Donahue,3,Los Angeles,California,26,Bartender,1,82,81,100,,,
Danielle,Reyes,3,Fairfield,California,30,Media Buyer,1,82,81,100,,,
Jason,Guy,3,Mobile,Alabama,25,Videographer,1,78,77,95,,,
Amy,Crews,3,Memphis,Tennessee,23,Real Estate Appraiser,1,27,51,63,,,
,,,,,,,41,76,,,,,
Marcellas,Reynolds,3,Chicago,Illinois,32,Fashion Designer,1,69,68,84,,,
Roddy,Mancuso,3,Morristown,New Jersey,30,Writer,1,62,61,75,,,
Gerry,Lancaster,3,Shadow Hills,California,51,Teacher,1,55,54,67,,,
Chiara,Berti,3,New York City,New York,25,Marketing Representative,1,48,47,58,,,
Josh ,Feinberg,3,New York City,New York,28,Waiter,1,41,40,49,,,
Eric,Ouellette,3,Milford,Connecticut,27,Firefighter,1,34,33,41,,,
Tonya,Paoni,3,Las Vegas,Nevada,35,Retail Sales Specialist,1,20,19,23,,,
Lori,Olson,3,Superior,Wisconsin,37,Bank Representative,1,13,12,15,,,
Jun,Song,4,New York City,New York,27,Investment Manager,1,82,81,100,,,
Alison ,Irwin,4,Pittsburgh,Pennsylvania,22,Retail Sales Manager,1,82,81,100,,,
Robert,Roman,4,Los Angeles,California,33,Restaurant Manager,1,75,74,91,,,
Erika,Landin,4,Los Angeles,California,33,Pilates Instructor,1,68,67,83,,,
Jee,Choe,4,New York City,New York,23,Bookkeeper,1,61,60,74,,,
Jack,Owens,4,Birmingham,Alabama,58,Retired FBI Agent,1,54,53,65,,,
Justin,Giovinco,4,Pittsburgh,Pennsylvania,22,Headhunter,1,47,46,57,,,
Nathan,Marlow,4,Edmond,Oklahoma,23,Personal Trainer,1,40,39,48,,,
Dana,Varela,4,New York City,New York,28,Karate School Manager,1,33,32,40,,,
Michelle,Maraide,4,Boca Raton,Florida,19,College Student,1,19,18,22,,,
David,Lane,4,Deerfield Beach,Florida,21,Former Army Ranger,1,26,25,31,,,
Amanda,Craig,4,Chicago,Illinois,25,Bar Manager,1,12,11,14,,,
Scott,Weintraub,4,Chicago,Illinois,33,Waiter,1,8,7,9,,,
Drew,Daniel,5,Urbana,Ohio,22,College Graduate,1,82,81,100,,,
Cowboy,Ellis,5,Durant,Oklahoma,23,Security Officer,1,82,81,100,,,
Diane,Henry,5,Burlington,Kentucky,22,Cocktail Waitress,1,78,77,95,,,
Nakomis,Dedmon,5,San Antonio,Texas,21,Waitress,1,75,74,91,,,
Karen,Ganci,5,Saddle Brook,New Jersey,30,Portrait Artist,1,70,69,85,,,
Martin,Latimer,5,Conway,South Carolina,36,Mortician,1,65,64,79,,,
Adria,Klein,5,Birmingham,Alabama,30,Fitness Professional,1,63,62,77,,,
Natalie,Carroll,5,Birmingham,Alabama,30,Fitness Professional,35,56,21,46,,,
Will,Wikle,5,Tupello,Mississippi,25,Registered Nurse,1,49,48,59,,,
Jase ,Wirey,5,Decatur,Illinois,28,Volunteer Firefighter,1,42,41,51,,,
Scott,Long,5,Pittsburgh,Pennsylvania,24,Sales Representative,1,35,34,42,,,
Holly,King,5,Los Angeles,California,26,Model,1,28,27,33,,,
Lori,Valenti,5,Boston,Massachussetts,26,Yoga Instructor,1,21,20,25,,,
Mike,Lubinski,5,Eastpointe,Michigan,41,Painter,1,14,13,16,,,
Maggie,Ausburn,6,Las Vegas,Nevada,26,ER Nurse,1,80,79,100,,,
Ivette,Corredero,6,Miami,Florida,25,Waitress,1,80,79,100,,,
Janelle,Pierzina,6,Miami Beach,Florida,25,VIP Cocktail Waitress,1,76,75,94,Grand Rapids,Minnesota,
April,Lewis,6,Dallas,Texas,31,Pharm Sales Rep,1,73,72,91,,,
Howie,Gordon,6,Chicago,Illinois,34,Meterology Student,1,68,67,85,,,
Beau,Beasley,6,Pembroke Pines,Florida,25,Personal Shopper,1,63,62,78,,,
James ,Rhine,6,Miami,Florida,29,Loss Prevention Manager,1,61,60,76,,,
Rachel,Plencner,6,Parker,Colorado,33,Horse Breeder,1,54,53,67,,,
Jennifer,Vasquez,6,Plano,Texas,27,Football Dancer,1,49,48,61,,,
Kaysar,Ridha,6,Irvine,California,25,Graphic Designer,1,33,39,49,,,
,,,,,,,40,47,,,,,
Sarah,Hrejsa,6,Chicago,Illinois,23,Retail Manager,1,40,39,49,,,
Eric,Littmann,6,Boston,Massachussetts,36,Firefighter,1,26,25,32,,,
Michael,Donnellan,6,Orange County,California,28,Artist,1,19,18,23,,,
Ashlea,Evans,6,Plantation,Florida,22,Fashion Design Student,1,12,11,14,,,
Dick,Donato,8,Los Angeles,California,44,Bar Manager,1,81,80,100,,,
Daniele,Donato,8,Huntington Beach,California,20,Waitress,1,81,80,100,,,
Zach,Swerdzweski,8,Tallahassee,Florida,30,Graphic Designer,1,76,75,94,,,
Jameka,Cameron,8,Waldorf,Maryland,28,School Counselor,1,74,73,91,,,
Eric,Stein,8,New York City,New York,27,Talent Management Assistant,1,69,68,85,,,
Jessica ,Hughbanks,8,Haysville ,Kansas,21,College Student,1,69,68,85,,,
Amber ,Siyavus,8,Las Vegas,Nevada,27,Waitress,1,62,61,76,,,
Jen ,Johnson,8,Beverly Hills ,California,23,Nanny,1,55,54,68,,,
Dustin,Erikstrup,8,Chicago,Illinois,22,Shoe Salesman,1,48,47,58,,,
Kail ,Harbick,8,McKenzie Bridge,Oregon,37,Business Owner,1,41,40,80,,,
Nick,Starvecic,8,Kimball,Minnesota,25,Unemployed,1,34,33,41,,,
Mike ,Dutz,8,Three Lakes ,Wisconsin,26,Painting Coordinator,1,27,26,33,,,
Joe ,Barber,8,Chicago,Illinois,23,Receptionist,1,20,19,24,,,
Carol,Journey,8,Lawrence,Kansas,21,College Student,1,13,12,15,,,
Adam,Jasinski,9,Delray Beach,Florida,29,Public Relations Manager,1,81,80,100,,,
Ryan,Quicksall,9,Columbus,Ohio,27,College Student,1,81,80,100,,,
Sheila ,Kennedy,9,Reseda,California,45,Former Model,1,77,76,95,,,
Sharon,Obermueller,9,Olathe,Kansas,23,Real Estate Broker,1,3,70,88,,,
,,,,,,,7,75,,,,,
Natalie,Cunial,9,Salem,Oregon,28,Bikini Barista,1,70,69,86,,,
James ,Zinkland,9,Sarasota,Florida,21,Cyclist,1,63,62,78,,,
Joshuah,Welch,9,Dallas,Texas,25,Advertising Media Buyer,1,56,55,69,,,
Chelsia,Hart,9,Cedar Falls,Iowa,21,College Student,1,49,48,60,,,
Matt,McDonald,9,Charlestown,Massachussetts,23,Roofing Foreman,1,42,41,51,,,
Allison,Nichols,9,Boston,Massachussetts,28,Pharm Sales Rep,1,28,27,33,,,
Alex,Coladonato,9,Staten Island,New York,24,DJ Company Owner,1,21,20,25,,,
Amanda,Hansen,9,Fridley,Minnesota,23,Paralegal,1,21,20,25,,,
Jen,Diturno,9,Columbus,Ohio,26,Bartender,1,14,13,16,,,
Parker,Somerville,9,Northridge ,California,26,Papparazzo,1,14,13,16,,,
Neil,Garcia,9,Los Angeles,California,29,Realtor,1,7,6,7.5,,,
Jacob,Herald,9,Dallas,Georgia,23,Electrician,1,3,2,2.5,,,
Dan,Ghessling,10,Dearborn,Michigan,24,Catholic School Teacher,1,71,70,100,Dearborn,Michigan,
Memphis,Gharret,10,Los Angeles,California,25,Mixologist,1,71,70,100,,,
Jerry,MacDonald,10,Magnolia,Texas,75,Retired Marketing Executive,1,66,65,93,,,
Keesha,Smith,10,Burbank,California,29,Waitress,1,64,63,90,,,
Renny,Martyn,10,New Orleans,Louisiana,53,Beauty Salon Owner,1,59,58,83,,,
Bryan,Ollie,10,Bloomington,Minnesota,27,Marketing Sales Rep,1,52,51,73,,,
Michelle,Costa,10,Cumberland,Rhode Island,28,Real Estate Broker,1,52,51,73,,,
April,Dowling,10,Higley,Arizona,30,Financial Manager,1,45,44,63,,,
Libra,Thompson,10,Spring,Texas,31,HR Rep,1,38,37,53,,,
Jessie,Godderz,10,Rudd,Iowa,22,Professional Bodybuilder,1,31,30,43,Rudd,Iowa,
Angie,Swindell,10,Orlando,Florida,29,Pharm Sales Rep,1,24,23,33,,,
Steven ,Daigle,10,The Woodlands,Texas,35,Rodeo Competitor,1,16,15,21,,,
Brian,Hart,10,San Francisco,California,27,Telecommunications Manager,1,9,8,11,,,
Jordan,Lloyd,11,Charlotte,North Carolina,22,Waitress,1,73,72,100,Raleigh,North Carolina,
Natalie,Martinez,11,Gilbert,Arizona,24,Twaekwando Champion,1,73,72,100,,,
Kevin,Campbell,11,Chula Vista,California,29,Graphic Designer,1,73,72,100,,,
Michele,Noonan,11,Pasadena,California,27,Neuroscientist,1,66,65,90,,,
Jeff,Schroeder,11,Norridge,Illinois,31,Advertising Salesman,1,61,60,83,Norridge,Illinois,
Russell,Kairouz,11,Walnut Creek,California,24,MMA Fighter,1,54,53,74,,,
Lydia,Tavera,11,Torrance ,California,24,Special Effects Makeup Artist,1,47,46,64,,,
Chima ,Simone,11,West Hollywood,California,32,Freelance Journalist,1,42,41,57,West Hollywood,California,
Ronnie,Talbott,11,Belpre,Ohio,31,Video Game Expert,1,33,32,44,Belpre,Ohio,
Casey ,Turner,11,St.Petersburg,Florida,45,Teacher,1,26,25,35,St.Petersburg,Florida,
Laura,Crosby,11,Atlanta,Georgia,21,Bikini Model,1,19,18,25,Atlanta,Georgia,
Braden,Bacha,11,Santa Monica,California,28,Surfer,1,12,11,15,Dana Point,California,
Hayden,Moss,12,Tempe,Arizona,24,College Student,1,75,74,100,Mesa,Arizona,
Lane,Elenburg,12,Decatur,Texas,24,Oil Rig Salesman,1,75,74,100,Decatur,Texas,
Enzo,Palumbo,12,Bayonne,New Jersey,32,Insurance Adjuster,1,75,74,100,Bayonne,New Jersey,
Britney,Haynes,12,Huntington,Arkansas,22,Hotel Sales Manager,1,67,66,89,Huntington,Arkansas,
Ragan,Fox,12,West Hollywood,California,34,College Professor,1,62,61,82,Long Beach,California,
Brendon,Villegas,12,Riverside ,California,30,HS Swim Coach,1,55,54,73,Riverside,California,
Matt ,Hoffmann,12,Elgin,Illinois,32,Web Designer,1,55,54,73,Elgin,Illinois,
Kathy,Hillis,12,Texarkana,Arkansas,40,Police Sheriff & Sergeant,1,48,47,64,Texarkana,Arkansas,
Rachel,Reilly,12,Las Vegas,Nevada,25,Cocktail Waitress,1,41,40,54,Concord,North Carolina,
Kristen,Bitting,12,Philadelphia,Pennsylvania,24,Botique Manager,1,34,33,45,Philadelphia,Pennsylvania,
Andrew,Gordon,12,Miami Beach,Florida,39,Podiatrist,1,27,26,35,Miami Beach,Florida,
Monet,Stunson,12,Glen Carbon,Illinois,24,Model,1,20,19,26,Glen Carbon,Illinois,
Annie,Whittington,12,Tampa,Florida,27,Bartender,1,13,12,16,Tampa,Florida,
Porsche,Briggs,13,Miami Beach,Florida,23,Cocktail Waitress,1,75,74,100,Fort Laurendale,Florida,
Adam,Poch,13,Hoboken,New Jersey,39,Music Inventory Manager,1,75,74,100,East Brunswick,New Jersey,
Kalia,Booker,13,Los Angeles,California,30,Writer,1,67,66,89,Allen,Texas,
Shelly,Moore,13,Prarieville,Louisiana,41,Outdoor Industry Executive,1,62,61,82,Centerville,Ohio,
Lawon ,Exum,13,Inglewood,California,39,Legal File Clerk,1,41,40,54,Urbana,Illinois,
Dominic,Briones,13,San Mateo,California,25,College Student & Model,1,27,26,35,San Mateo,California,
Cassi,Colvin,13,Nashville,Tennessee,26,Model,1,20,19,26,Allen,Texas,
Keith,Henderson,13,Bolingbrook,Illinois,32,HR Manager,1,13,12,16,Bolingbrook,Illinois,
Ian ,Terry,14,New Orleans,Louisiana,21,Engineering Student,1,75,74,100,Pittsburgh,Pennsylvania,
Danielle,Murphy,14,Tuscaloosa,Alabama,23,Nurse,1,75,74,100,Grant,Alabama,
Shane,Meaney,14,Bennington,Vermont,26,House Flipper,1,69,68,92,Bennington,Vermont,
Jenn,Arroyo,14,Brooklyn,New York,37,Musician,1,67,66,89,New York,New York,
Joe ,Arvin,14,Schererville,Indiana,41,Chef,1,62,61,82,Lexington,Kentucky,
Frank,Eudy,14,Naples,Florida,28,Unemployed,1,62,61,82,Marion,Arkansas,
Ashley,Iocco,14,West Hollywood,California,26,Mobile Spray Tan Owner,1,48,47,64,Pittsburgh,Pennsylvania,
Will,Heuser,14,Louisville,Kentucky,24,Marketing Consultant,1,41,40,54,Louisville,Kentucky,
JoJo,Spatafora,14,Staten Island,New York,26,Bartender,1,20,19,26,Staten Island,New York,
Willie,Hantz,14,Dayton,Texas,34,Tankerman,1,14,13,18,Vinton,Louisiana,
Kara,Monaco,14,Los Angeles,California,29,Model,1,13,12,16,Orlando,Florida,
Jodi,Rollins,14,Calipatria,California,42,Server,1,1,0,<1 ,Englewood,California,
Andy,Herren,15,Chicago,Illinois,26,Professor,1,90,89,100,Aurora,Illinois,
GinaMarie,Zimmerman,15,Staten Island,New York,32,Pageant Coordinator,1,90,89,100,New York ,New York,
